ticket_id,summary,description,comments,status,priority,labels,created_date,resolved_date,tool_name
CICD-1421,CI pipeline fails silently on token expiry,"Our nightly build pipeline started failing around 2am with no clear error in the console output. The job just shows a generic 401 and exits. We didn't change anything in our pipeline config recently.","Investigated - the auth token used by the pipeline runner is cached for 24h. When it expires mid-job, the HTTP client swallows the 401 and retries silently until max retries, then exits with a generic code 1. Root cause: token refresh logic only triggers on job start, not on expiry mid-execution. Fix: updated the token interceptor to check expiry before every external call, not just at job start. Workaround for now: manually clear the credential cache via 'pipeline-cli cache clear' before re-running.",Done,Critical,"auth,cicd",2025-11-02,2025-11-04,CI/CD Pipeline
CICD-1388,Pipeline auth token not refreshing after rotation,"After our security team rotated the service account credentials, all pipeline runs started failing with authentication errors. Tried re-triggering the job multiple times with no luck.","Same root cause as CICD-1421 - cached token surviving past actual expiry. Cleared cache and pipeline succeeded. We should automate this.",Done,High,"auth,cicd",2025-10-28,2025-10-29,CI/CD Pipeline
CICD-1502,Intermittent 401 errors in deployment stage,"Deployment stage sometimes fails with 401 even though the build and test stages pass fine. Re-running the same pipeline often succeeds on the second attempt.","Confirmed this is the same token-expiry-during-execution issue. Tracking it under the broader auth refresh fix.",In Progress,High,"auth,cicd",2025-11-15,,CI/CD Pipeline
CICD-1390,Config validation error points to wrong file,"When I have a malformed YAML in my pipeline config, the error message says the issue is in 'config/base.yml' but I don't even have that file in my repo. Very confusing to debug.","Looked into this - the config parser merges multiple config layers (default, environment override, user override) before validation, but the error reporting uses the merged virtual path instead of tracing back to the actual source file. This needs a proper fix in the parser to track source file provenance through the merge.",Done,Medium,"config,cicd",2025-09-20,2025-09-25,CI/CD Pipeline
CICD-1455,YAML indentation error gives unhelpful line number,"Pipeline config validation failed but the line number in the error pointed to a comment line, not the actual indentation problem two lines below.",Same underlying issue as CICD-1390 - the YAML parser's line tracking gets confused after multi-document merges.,Open,Low,"config,cicd",2025-11-10,,CI/CD Pipeline
CICD-1510,Build cache not invalidating after dependency update,"Updated a dependency version in package.json but the build keeps using the old cached version. Had to manually clear cache to get the new version, which defeats the purpose of caching.","Root cause: cache key is based on the lockfile hash, but our lockfile wasn't regenerated automatically on version bump in package.json directly. Workaround: run 'npm install' locally to regen lockfile before pushing. Long-term fix needed in the cache key strategy.",Done,Medium,"performance,cicd",2025-10-05,2025-10-08,CI/CD Pipeline
IDE-980,IDE plugin freezes on large monorepo,"Our monorepo has grown to over 50,000 files and the IDE plugin completely freezes during the initial indexing phase. Have to kill and restart the IDE, and it happens again every time I open the project.","This is a known scaling limitation in the current indexing algorithm - it does a full synchronous scan on open rather than incremental/background indexing. We're tracking a redesign to use async indexing with a progress indicator, but that's a larger effort. Workaround: exclude non-essential directories like /node_modules and /vendor from the indexing scope in plugin settings.",Open,Critical,"performance,ide",2025-10-12,,IDE Plugin
IDE-1002,Plugin indexing never completes on big repo,"Indexing progress bar gets stuck at around 80% and never finishes. Autocomplete and go-to-definition don't work at all in this state.","Same root cause as IDE-980 - synchronous full-repo indexing chokes on repos above ~40k files. Exclude large generated directories as a workaround until the async indexer ships.",Open,High,"performance,ide",2025-11-01,,IDE Plugin
IDE-1015,Autocomplete suggestions very slow in large files,"In files over 2000 lines, autocomplete takes 3-5 seconds to show suggestions, making it almost unusable. Smaller files are fine.","Profiled this - the suggestion engine re-parses the entire file on every keystroke rather than using incremental parsing. This is related to the broader indexing performance work.",Open,Medium,"performance,ide",2025-11-18,,IDE Plugin
IDE-1030,Plugin crashes when opening files with non-UTF8 encoding,"Opening a file with Windows-1252 encoding (likely from a Windows teammate) causes the plugin to throw an unhandled exception and the editor pane goes blank.","Identified the issue - file encoding detection assumes UTF-8 and doesn't gracefully fall back. Added detection logic and fallback rendering as plain text with a warning banner when encoding is uncertain.",Done,Medium,"bug,ide",2025-09-15,2025-09-22,IDE Plugin
CR-770,Code review tool breaks on branch names with special characters,"Created a branch named 'feature/fix-#1234-urgent' and the code review integration completely failed to pick up the PR. No errors shown, the PR just never appears in the review tool.","Root cause: branch name URL-encoding logic doesn't handle '#' correctly - it gets truncated as if it were a URL fragment identifier. Fix: properly percent-encode branch names before constructing the webhook URL. Workaround: avoid '#' in branch names until the fix ships, use 'feature/fix-1234-urgent' instead.",Done,High,"integration,code-review",2025-10-18,2025-10-24,Code Review Tool
CR-802,PR not appearing in review tool after push,"Pushed a new branch and opened a PR in our git host, but it never shows up in the code review tool's dashboard. Had to manually refresh several times.","Same root cause as CR-770 - branch name contained a special character that broke webhook delivery silently. We should add error logging/alerting when webhook delivery fails instead of failing silently.",Done,High,"integration,code-review",2025-11-03,2025-11-05,Code Review Tool
CR-815,Review comments not syncing back to git host,"Left several review comments in the tool's UI but they never appeared back on the actual pull request in our git host. Reviewers using the git host directly missed all my feedback.","Investigated - sync job runs every 15 minutes but was failing silently due to a rate limit being hit on the git host API. Added backoff and retry logic, plus alerting when sync failures exceed a threshold.",Done,Critical,"integration,code-review",2025-11-08,2025-11-12,Code Review Tool
CR-820,Diff view doesn't render correctly for renamed files,"When a file is renamed and modified in the same commit, the diff view shows it as a full delete + full add instead of a proper rename-with-changes diff. Makes review much harder.",Confirmed this is a limitation in how the diff engine detects renames - similarity threshold is too strict. Tuning the threshold and re-testing.,In Progress,Medium,"bug,code-review",2025-11-20,,Code Review Tool
ART-340,Artifact registry returns 403 after password rotation,"After IT rotated our registry credentials as part of routine security rotation, the first artifact pull of the day fails with 403, but retrying manually a minute later works fine.","Root cause: client-side credential cache doesn't get invalidated on rotation, similar to the CI/CD token issue but in a different service. The cached credential is stale for up to 5 minutes after rotation. Fix: reduce cache TTL and add explicit invalidation hook tied to the rotation webhook.",Done,High,"auth,artifact-registry",2025-10-22,2025-10-26,Artifact Registry
ART-355,Slow artifact downloads during peak hours,"Downloading build artifacts between 9-11am takes 5-10x longer than other times of day. Looks like a capacity issue during peak usage.","Confirmed via monitoring - registry storage backend is under-provisioned for peak concurrent load. Working with infra team on autoscaling configuration.",In Progress,Medium,"performance,artifact-registry",2025-11-14,,Artifact Registry
ART-360,Artifact upload fails for files over 500MB,"Trying to upload a large container image (600MB) to the registry and it fails partway through with a generic timeout error, no helpful message.","Root cause: default HTTP client timeout is too aggressive for large uploads. Increased timeout for upload endpoints specifically and added chunked upload support for files over 200MB.",Done,Medium,"config,artifact-registry",2025-09-28,2025-10-02,Artifact Registry
SEC-210,Secrets manager rotation breaks dependent services,"When we rotate a secret in the secrets manager, downstream services that cached the old value keep using it until they restart, causing auth failures that are confusing to trace.","This is by design currently - services pull secrets on startup only. Recommending a watch-based refresh pattern for services that need zero-downtime rotation. Documented as a known limitation with a suggested pattern for teams.",Done,Medium,"auth,secrets-manager",2025-10-30,2025-11-01,Secrets Manager
SEC-225,Cannot find which services are using a specific secret,"Need to deprecate an old API key but have no way to see which services or pipelines currently reference it. Risk of breaking something if we just delete it.",Valid gap - we don't currently have reverse-lookup/usage tracking for secrets. Logged as a feature request for a secrets usage dashboard.,Open,Low,"feature-request,secrets-manager",2025-11-17,,Secrets Manager
CICD-1530,Deployment stuck in queued state for over an hour,"Triggered a deployment and it's been sitting in 'Queued' status for over an hour with no progress and no error. Other team's deployments seem to be running fine.","Found the issue - a stale lock from a previous failed deployment wasn't released properly, blocking the queue for that specific environment. Manually cleared the lock. Need to add a timeout-based auto-release for stale locks.",Done,Critical,"bug,cicd",2025-11-22,2025-11-22,CI/CD Pipeline
IDE-1045,Go-to-definition jumps to wrong file in monorepo,"In our monorepo with multiple packages of the same name in different workspaces, go-to-definition often jumps to the wrong package's version of the file.","Root cause: symbol resolution doesn't respect workspace boundaries correctly when multiple packages share class/function names. Needs proper workspace-aware symbol indexing, related to the broader indexing rework already planned.",Open,Medium,"bug,ide",2025-11-19,,IDE Plugin
